carID,price
75973,9163.56
75974,21326.95
75975,29953.73
75976,26892.88
75977,15416.83
75978,21947.6
75979,32986.02
75980,25626.67
75981,15791.7
75982,24161.27
75983,35317.52
75984,16577.06
75985,32633.18
75986,49905.14
75987,15383.03
75988,23229.49
75989,15708.83
75990,12825.05
75991,18161.03
75992,23252.45
75993,58296.17
75994,22497.55
75995,12673.43
75996,19777.58
75997,10615.8
75998,14791.78
75999,18030.62
76000,13686.64
76001,12155.43
76002,11981.3
76003,13301.14
76004,19528.2
76005,27964.56
76006,26188.51
76007,15965.22
76008,50599.68
76009,16963.15
76010,26166.45
76011,31086.75
76012,20834.6
76013,26475.54
76014,12314.42
76015,33803.37
76016,29101.87
76017,23469.76
76018,10942.39
76019,11566.93
76020,27971.36
76021,19508.32
76022,18116.51
76023,17064.32
76024,23305.95
76025,21558.82
76026,38028.51
76027,11605.95
76028,23663.47
76029,11902.02
76030,17340.19
76031,9358.4
76032,14463.92
76033,28312.71
76034,10697.33
76035,21759.42
76036,18379.63
76037,35796.43
76038,21801.62
76039,14294.48
76040,16650.95
76041,21679.73
76042,22744.55
76043,18694.52
76044,21629.26
76045,12058.15
76046,14661.7
76047,11647.31
76048,49291.75
76049,22653.82
76050,12740.4
76051,19462.57
76052,23211.18
76053,18932.58
76054,11850.2
76055,17644.47
76056,20235.53
76057,24575.35
76058,18996.83
76059,14737.81
76060,21091.6
76061,20287.13
76062,9863.47
76063,35727.66
76064,49030.44
76065,17059.63
76066,20001.56
76067,19985.34
76068,16071.87
76069,28451.12
76070,21797.8
76071,16389.77
76072,29682.58
76073,19375.41
76074,14141.94
76075,33361.34
76076,27156.67
76077,18424.3
76078,12472.09
76079,20201.13
76080,17544.29
76081,24244.28
76082,13663.19
76083,26303.09
76084,17786.41
76085,17629.63
76086,13826.27
76087,10373.33
76088,19619.25
76089,27155.11
76090,20786.16
76091,22040.9
76092,27390.33
76093,32723.11
76094,13932.6
76095,20696.34
76096,10644.35
76097,18760.53
76098,29019.33
76099,47399.17
76100,16655.46
76101,22760.29
76102,20547.4
76103,22361.71
76104,17559.44
76105,15857.54
76106,28495.73
76107,31609.16
76108,17272.37
76109,9998.25
76110,11451.94
76111,19145.68
76112,29922.08
76113,20318.95
76114,15035.51
76115,21002.34
76116,18321.37
76117,13742.91
76118,25054.07
76119,21053.55
76120,4746.82
76121,18698.21
76122,28659.25
76123,28245.42
76124,19509.42
76125,21909.98
76126,21447.62
76127,17272.89
76128,16450.87
76129,32892.42
76130,14237.37
76131,16291.94
76132,20701.58
76133,17554.84
76134,14064.57
76135,16951.21
76136,21652.36
76137,11289.75
76138,19461.25
76139,17395.27
76140,19724.52
76141,17240.04
76142,29642.58
76143,18140.01
76144,15126.62
76145,26520.78
76146,17354.62
76147,33448.4
76148,26062.65
76149,15231.58
76150,37015.56
76151,15738.98
76152,29189.58
76153,47459.9
76154,31494.98
76155,13341.85
76156,36269.05
76157,11084.17
76158,13665.26
76159,23391.84
76160,31448.35
76161,18998.21
76162,34130.23
76163,27725.99
76164,33986.45
76165,19226.58
76166,13041.82
76167,15250.67
76168,30741.75
76169,13637.45
76170,17670.65
76171,28897.02
76172,42739.64
76173,32462.71
76174,35423.75
76175,9868.98
76176,16062.79
76177,11460.45
76178,22568.09
76179,12179.97
76180,49319.39
76181,25733.77
76182,30827.68
76183,29548.06
76184,3993.07
76185,40040.7
76186,13987.99
76187,29823.09
76188,33655.88
76189,17875.15
76190,11730.44
76191,26608.9
76192,16051.55
76193,17079.87
76194,13408.78
76195,16350.52
76196,10387.66
76197,15830.72
76198,15740.25
76199,19913.73
76200,18266.44
76201,39527.19
76202,16052.26
76203,19420.91
76204,14752.54
76205,30586.71
76206,52080.18
76207,35486.3
76208,13905.02
76209,20078.89
76210,27229.1
76211,33066.34
76212,18425.42
76213,18137.45
76214,22524.62
76215,12785.23
76216,32174.39
76217,15451.28
76218,56378.31
76219,16680.3
76220,11507.72
76221,11729.52
76222,26485.47
76223,28516.33
76224,16466.87
76225,10349.36
76226,21819.8
76227,17764.03
76228,22932.71
76229,17230.12
76230,18075.02
76231,54635.94
76232,12512.64
76233,20997.22
76234,20697.4
76235,46995.07
76236,30653.08
76237,22677.55
76238,40067.7
76239,30112.03
76240,19833.67
76241,13020.79
76242,14894.79
76243,11306.31
76244,32587.49
76245,20464.09
76246,26069.24
76247,31278.65
76248,24608.25
76249,44115.54
76250,32301.17
76251,19204.42
76252,14568.04
76253,22358.85
76254,16321.34
76255,15021.84
76256,29705.35
76257,11178.9
76258,25122.29
76259,19438.17
76260,36573.73
76261,13959.77
76262,32694.79
76263,3525.82
76264,17104.47
76265,26700.4
76266,15729.07
76267,32454.53
76268,45730.1
76269,26313.07
76270,16621.41
76271,11837.29
76272,20475.78
76273,15700.23
76274,15594.37
76275,32339.65
76276,10840.18
76277,23916.8
76278,18093.68
76279,26824.84
76280,32953.64
76281,11055.26
76282,19522.68
76283,19320.92
76284,16538.51
76285,19942.69
76286,19076.85
76287,14635.47
76288,25235.81
76289,32345.0
76290,6585.14
76291,29804.19
76292,20500.29
76293,17782.1
76294,21798.57
76295,28676.46
76296,19551.73
76297,30986.83
76298,12876.05
76299,15155.8
76300,39085.5
76301,13998.02
76302,22243.42
76303,12916.17
76304,26472.15
76305,31240.25
76306,21536.98
76307,14298.68
76308,43709.96
76309,20493.95
76310,33808.21
76311,10821.93
76312,18123.5
76313,9526.38
76314,19418.28
76315,25212.51
76316,18914.42
76317,14172.58
76318,20454.4
76319,17850.8
76320,16259.87
76321,27636.31
76322,58214.77
76323,20453.87
76324,16289.81
76325,33427.26
76326,49454.51
76327,34408.66
76328,47395.25
76329,29909.14
76330,15237.83
76331,16821.45
76332,30646.08
76333,13631.11
76334,22025.75
76335,18039.74
76336,30452.73
76337,57370.18
76338,27162.69
76339,21789.18
76340,19869.91
76341,12621.07
76342,16595.66
76343,15216.87
76344,16101.95
76345,29318.29
76346,11944.55
76347,22638.15
76348,7276.03
76349,54624.44
76350,8739.17
76351,22115.65
76352,17035.93
76353,38678.81
76354,20364.94
76355,22743.33
76356,11071.51
76357,25857.04
76358,13909.97
76359,24373.27
76360,14020.78
76361,19142.45
76362,24288.39
76363,20158.0
76364,20569.73
76365,17090.6
76366,33201.72
76367,7783.08
76368,18286.85
76369,15606.35
76370,14941.28
76371,17833.29
76372,23073.64
76373,20961.41
76374,23608.54
76375,20670.81
76376,14355.27
76377,18119.44
76378,24305.7
76379,21186.53
76380,19745.02
76381,20041.27
76382,18930.01
76383,14135.97
76384,47425.92
76385,14908.49
76386,31055.69
76387,12140.69
76388,22281.67
76389,19075.53
76390,21357.74
76391,43470.24
76392,77876.95
76393,29576.02
76394,21376.85
76395,22319.24
76396,10615.18
76397,21213.15
76398,24874.05
76399,23627.66
76400,28415.1
76401,19816.64
76402,11094.8
76403,16573.4
76404,20542.6
76405,21215.62
76406,22481.82
76407,22098.53
76408,42860.12
76409,21690.73
76410,17675.86
76411,18328.33
76412,45489.41
76413,7912.29
76414,16497.91
76415,20627.91
76416,27274.84
76417,28937.82
76418,21345.03
76419,23380.86
76420,15323.28
76421,17056.42
76422,21248.22
76423,21482.51
76424,3912.73
76425,24669.52
76426,14144.08
76427,25385.09
76428,18383.51
76429,36733.44
76430,22519.84
76431,22708.72
76432,19482.72
76433,16006.4
76434,19344.64
76435,59848.36
76436,13615.3
76437,16417.55
76438,27734.65
76439,34347.9
76440,21168.85
76441,31461.56
76442,31484.82
76443,13173.75
76444,32600.16
76445,47425.92
76446,50491.06
76447,30679.24
76448,23699.73
76449,27317.29
76450,53817.69
76451,35899.64
76452,32274.85
76453,26983.41
76454,22124.75
76455,22140.09
76456,19375.78
76457,19703.43
76458,14657.42
76459,34389.09
76460,11467.24
76461,30981.71
76462,49564.4
76463,26697.74
76464,11822.28
76465,15950.72
76466,21797.36
76467,12469.64
76468,10310.99
76469,5029.17
76470,26418.36
76471,26480.83
76472,11288.21
76473,17352.89
76474,22008.44
76475,11002.99
76476,10762.82
76477,10780.49
76478,19314.6
76479,17958.3
76480,22071.15
76481,12057.1
76482,11794.15
76483,31763.75
76484,18442.57
76485,19667.54
76486,14934.37
76487,10742.46
76488,19167.28
76489,14295.25
76490,27188.26
76491,17749.88
76492,22517.42
76493,16834.23
76494,20199.77
76495,23823.27
76496,14147.89
76497,51027.02
76498,33554.61
76499,15849.89
76500,15254.36
76501,22090.35
76502,33763.59
76503,18137.3
76504,20519.54
76505,14624.01
76506,25103.53
76507,16260.15
76508,22152.62
76509,30177.67
76510,12034.81
76511,20157.86
76512,18762.28
76513,18669.48
76514,20581.1
76515,5375.7
76516,19628.54
76517,15068.92
76518,27567.9
76519,35142.46
76520,16964.28
76521,26904.27
76522,29908.93
76523,21610.0
76524,53904.59
76525,11370.06
76526,26555.59
76527,14024.66
76528,19420.65
76529,20902.06
76530,12221.74
76531,15191.16
76532,17033.8
76533,10163.24
76534,31382.55
76535,11718.32
76536,31456.06
76537,11443.6
76538,21627.16
76539,9833.32
